symbol,name,price,pe,week_52_low,week_52_high,pb,avg_revenue_growth,avg_profit_growth,revenue_growth,profit_growth
300628,亿联网络,37.6,18.74,44.14,29.42,5.49,40.2,51.8,"[39.556289585623, 50.232982047884, 30.811899321152]","[74.600955500503, 36.646893229685, 44.125244566722]"
002140,东华科技,12.37,19.13,13.42,10.98,1.91,46.6,43.7,"[29.181802136813, 86.48070898696, 24.07028466597]","[34.267463796264, 69.893539181971, 26.928901610223]"
002475,立讯精密,51.16,23.58,56.74,46.42,4.74,83.0,60.2,"[72.831087686712, 152.889111165076, 23.150780481486]","[56.201364217611, 122.128099874374, 2.298070119289]"
688389,普门科技,14.06,24.0,16.79,11.19,2.87,30.2,45.9,"[28.943740886198, 31.037612479336, 30.675965954067]","[70.522753727414, 43.147006206264, 23.927431973288]"
603236,移远通信,86.95,25.93,93.4,76.42,3.71,52.9,63.8,"[84.446914344793, 47.848786501209, 26.357178455609]","[89.433804545647, 27.712238272298, 74.216877497136]"
300349,金卡智能,17.16,26.59,20.74,13.82,1.61,48.9,55.5,"[54.309597983921, 52.95365072595, 39.311076706227]","[76.226294273419, 45.611254419949, 44.597717019596]"
002315,焦点科技,45.27,28.49,49.56,40.55,5.24,40.3,32.3,"[44.784839622, 48.124332163927, 28.008359502856]","[56.19178677505, 31.043595054103, 9.636014319391]"
002273,水晶光电,27.53,33.24,30.56,25.0,3.99,33.2,48.3,"[9.44378068696, 88.18924750615, 1.836018442862]","[9.844136978547, 113.203105049535, 21.800563938141]"
300303,聚飞光电,9.3,40.9,9.3,6.2,3.51,42.1,31.3,"[42.742681059198, 52.190299004611, 31.431968749116]","[14.149482205699, 43.057271895784, 36.637408748709]"
688188,柏楚电子,153.5,41.76,180.79,120.53,7.61,40.6,44.5,"[16.582370567172, 51.787645701532, 53.333062612914]","[6.2430739321, 50.457464062515, 76.850443851538]"
